"case","event","startTime","completeTime","LoanGoal","ApplicationType","RequestedAmount","Action","FirstWithdrawalAmount","NumberOfTerms","Accepted","OfferID","org:resource","MonthlyCost","EventOrigin","EventID","Selected","CreditScore","OfferedAmount"
"Application_1565253423","W_Complete application","2016/01/18 10:34:24.351","2016/01/18 16:03:43.151","Unknown","New credit","0.0","Deleted",,,,,"User_19",,"Workflow","Workitem_1837382175",,,
"Application_1565253423","A_Concept","2016/01/18 10:34:24.372","2016/01/18 10:34:24.372","Unknown","New credit","0.0","statechange",,,,,"User_75",,"Application","ApplState_186312604",,,
"Application_1565253423","A_Accepted","2016/01/18 10:45:19.217","2016/01/18 10:45:19.217","Unknown","New credit","0.0","statechange",,,,,"User_75",,"Application","ApplState_261996057",,,
"Application_1565253423","O_Create Offer","2016/01/18 11:10:28.337","2016/01/18 11:10:28.337","Unknown","New credit","0.0","Created","6875.0","120","true",,"User_75","366.08","Offer","Offer_2146771547","false","0","35000.0"
"Application_1565253423","O_Created","2016/01/18 11:10:29.740","2016/01/18 11:10:29.740","Unknown","New credit","0.0","statechange","6875.0","120","true","Offer_2146771547","User_75","366.08","Offer","OfferState_426996525","false","0","35000.0"
"Application_1565253423","O_Cancelled","2016/01/18 15:33:49.737","2016/01/18 15:33:49.737","Unknown","New credit","0.0","statechange","6875.0","120","true","Offer_2146771547","User_19","366.08","Offer","OfferState_1439055872","false","0","35000.0"
"Application_1565253423","A_Cancelled","2016/01/18 16:03:43.122","2016/01/18 16:03:43.122","Unknown","New credit","0.0","statechange","6875.0","120","true","Offer_2146771547","User_19","366.08","Application","ApplState_2143480611","false","0","35000.0"
"Application_203309822","A_Create Application","2016/01/28 16:29:49.922","2016/01/28 16:29:49.922","Unknown","New credit","0.0","Created",,,,,"User_86",,"Application","Application_203309822",,,
"Application_203309822","A_Create Application","2016/01/28 16:29:49.922","2016/01/28 16:29:49.922","Unknown","New credit","0.0","Created",,,,,"User_86",,"Application","Application_203309822",,,
"Application_203309822","W_Complete application","2016/01/28 16:29:49.933","2016/01/28 16:55:53.186","Unknown","New credit","0.0","Deleted",,,,,"User_86",,"Workflow","Workitem_1730815160",,,
"Application_203309822","A_Concept","2016/01/28 16:29:49.934","2016/01/28 16:29:49.934","Unknown","New credit","0.0","statechange",,,,,"User_86",,"Application","ApplState_1705475678",,,
"Application_203309822","A_Accepted","2016/01/28 16:34:40.777","2016/01/28 16:34:40.777","Unknown","New credit","0.0","statechange",,,,,"User_86",,"Application","ApplState_496571713",,,
"Application_203309822","O_Create Offer","2016/01/28 16:54:20.942","2016/01/28 16:54:20.942","Unknown","New credit","0.0","Created","50000.0","120","true",,"User_86","522.97","Offer","Offer_1771222002","false","0","50000.0"
"Application_203309822","O_Created","2016/01/28 16:54:22.116","2016/01/28 16:54:22.116","Unknown","New credit","0.0","statechange","50000.0","120","true","Offer_1771222002","User_86","522.97","Offer","OfferState_1932361733","false","0","50000.0"
"Application_203309822","O_Create Offer","2016/01/28 16:54:51.198","2016/01/28 16:54:51.198","Unknown","New credit","0.0","Created","0.0","126","true","Offer_1771222002","User_86","500.0","Offer","Offer_587535462","false","0","50000.0"
"Application_203309822","O_Created","2016/01/28 16:54:52.467","2016/01/28 16:54:52.467","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_587535462","User_86","500.0","Offer","OfferState_268307969","false","0","50000.0"
"Application_203309822","O_Created","2016/01/28 16:54:52.467","2016/01/28 16:54:52.467","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_587535462","User_86","500.0","Offer","OfferState_268307969","false","0","50000.0"
"Application_203309822","W_Call after offers","2016/01/28 16:55:53.198","2016/01/30 12:05:24.573","Unknown","New credit","0.0","Deleted","0.0","126","true","Offer_587535462","User_142","500.0","Workflow","Workitem_1503290605","false","0","50000.0"
"Application_203309822","A_Complete","2016/01/28 16:55:53.201","2016/01/28 16:55:53.201","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_587535462","User_86","500.0","Application","ApplState_1364121338","false","0","50000.0"
"Application_203309822","O_Cancelled","2016/01/28 18:37:53.174","2016/01/28 18:37:53.174","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_587535462","User_86","500.0","Offer","OfferState_939216472","false","0","50000.0"
"Application_203309822","O_Cancelled","2016/01/28 18:37:53.189","2016/01/28 18:37:53.189","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_1771222002","User_86","500.0","Offer","OfferState_1659764038","false","0","50000.0"
"Application_203309822","O_Create Offer","2016/01/28 18:38:28.269","2016/01/28 18:38:28.269","Unknown","New credit","0.0","Created","0.0","126","true","Offer_1771222002","User_86","500.0","Offer","Offer_1492567221","false","0","50000.0"
"Application_203309822","O_Created","2016/01/28 18:38:29.458","2016/01/28 18:38:29.458","Unknown","New credit","0.0","statechange","0.0","126","true","Offer_1492567221","User_86","500.0","Offer","OfferState_1571524142","false","0","50000.0"
"Application_203309822","O_Create Offer","2016/01/28 18:38:47.494","2016/01/28 18:38:47.494","Unknown","New credit","0.0","Created","50000.0","120","true","Offer_1492567221","User_86","522.97","Offer","Offer_2023101042","false","0","50000.0"
"Application_203309822","O_Created","2016/01/28 18:38:48.774","2016/01/28 18:38:48.774","Unknown","New credit","0.0","statechange","50000.0","120","true","Offer_2023101042","User_86","522.97","Offer","OfferState_2003516853","false","0","50000.0"
"Application_203309822","A_Cancelled","2016/01/30 12:05:24.435","2016/01/30 12:05:24.435","Unknown","New credit","0.0","statechange","50000.0","120","true","Offer_2023101042","User_142","522.97","Application","ApplState_740792829","false","0","50000.0"
"Application_203309822","O_Cancelled","2016/01/30 12:05:24.532","2016/01/30 12:05:24.532","Unknown","New credit","0.0","statechange","50000.0","120","true","Offer_2023101042","User_142","522.97","Offer","OfferState_659994659","false","0","50000.0"
"Application_203309822","O_Cancelled","2016/01/30 12:05:24.548","2016/01/30 12:05:24.548","Unknown","New credit","0.0","statechange","50000.0","120","true","Offer_1492567221","User_142","522.97","Offer","OfferState_595526304","false","0","50000.0"
"Application_772295828","A_Create Application","2016/02/08 09:41:21.886","2016/02/08 09:41:21.886","Car","New credit","10300.0","Created",,,,,"User_74",,"Application","Application_772295828",,,
"Application_772295828","A_Create Application","2016/02/08 09:41:21.886","2016/02/08 09:41:21.886","Car","New credit","10300.0","Created",,,,,"User_74",,"Application","Application_772295828",,,
"Application_772295828","W_Complete application","2016/02/08 09:41:21.915","2016/02/08 09:52:42.828","Car","New credit","10300.0","Deleted",,,,,"User_74",,"Workflow","Workitem_2114314449",,,
"Application_772295828","A_Concept","2016/02/08 09:41:21.921","2016/02/08 09:41:21.921","Car","New credit","10300.0","statechange",,,,,"User_74",,"Application","ApplState_621799280",,,
"Application_772295828","A_Accepted","2016/02/08 09:46:35.647","2016/02/08 09:46:35.647","Car","New credit","10300.0","statechange",,,,,"User_74",,"Application","ApplState_1145737703",,,
"Application_772295828","O_Create Offer","2016/02/08 09:52:14.205","2016/02/08 09:52:14.205","Car","New credit","10300.0","Created","6000.0","60","true",,"User_74","197.01","Offer","Offer_168300670","false","0","10300.0"
"Application_772295828","O_Created","2016/02/08 09:52:15.632","2016/02/08 09:52:15.632","Car","New credit","10300.0","statechange","6000.0","60","true","Offer_168300670","User_74","197.01","Offer","OfferState_1996334469","false","0","10300.0"
"Application_772295828","O_Created","2016/02/08 09:52:15.632","2016/02/08 09:52:15.632","Car","New credit","10300.0","statechange","6000.0","60","true","Offer_168300670","User_74","197.01","Offer","OfferState_1996334469","false","0","10300.0"
"Application_772295828","W_Call after offers","2016/02/08 09:52:42.844","2016/02/08 09:58:56.435","Car","New credit","10300.0","Deleted","6000.0","60","true","Offer_168300670","User_74","197.01","Workflow","Workitem_1965085600","false","0","10300.0"
"Application_772295828","A_Complete","2016/02/08 09:52:42.846","2016/02/08 09:52:42.846","Car","New credit","10300.0","statechange","6000.0","60","true","Offer_168300670","User_74","197.01","Application","ApplState_2135225978","false","0","10300.0"
"Application_772295828","A_Cancelled","2016/02/08 09:58:56.385","2016/02/08 09:58:56.385","Car","New credit","10300.0","statechange","6000.0","60","true","Offer_168300670","User_74","197.01","Application","ApplState_135625342","false","0","10300.0"
"Application_772295828","O_Cancelled","2016/02/08 09:58:56.419","2016/02/08 09:58:56.419","Car","New credit","10300.0","statechange","6000.0","60","true","Offer_168300670","User_74","197.01","Offer","OfferState_1649745582","false","0","10300.0"
"Application_1162167865","A_Create Application","2016/02/11 17:27:08.124","2016/02/11 17:27:08.124","Car","Limit raise","7500.0","Created",,,,,"User_3",,"Application","Application_1162167865",,,
"Application_1162167865","A_Concept","2016/02/11 17:27:08.127","2016/02/11 17:27:08.127","Car","Limit raise","7500.0","statechange",,,,,"User_3",,"Application","ApplState_420327041",,,
"Application_1162167865","A_Concept","2016/02/11 17:27:08.127","2016/02/11 17:27:08.127","Car","Limit raise","7500.0","statechange",,,,,"User_3",,"Application","ApplState_420327041",,,
"Application_1162167865","W_Complete application","2016/02/11 17:27:08.134","2016/02/11 17:33:00.023","Car","Limit raise","7500.0","Deleted",,,,,"User_3",,"Workflow","Workitem_1816472869",,,
"Application_1162167865","A_Accepted","2016/02/11 17:30:53.756","2016/02/11 17:30:53.756","Car","Limit raise","7500.0","statechange",,,,,"User_3",,"Application","ApplState_1905154865",,,
"Application_1162167865","O_Create Offer","2016/02/11 17:32:21.752","2016/02/11 17:32:21.752","Car","Limit raise","7500.0","Created","0.0","58","true",,"User_3","150.0","Offer","Offer_1772431340","false","0","7500.0"
"Application_1162167865","O_Created","2016/02/11 17:32:23.585","2016/02/11 17:32:23.585","Car","Limit raise","7500.0","statechange","0.0","58","true","Offer_1772431340","User_3","150.0","Offer","OfferState_1339091711","false","0","7500.0"
"Application_1162167865","O_Created","2016/02/11 17:32:23.585","2016/02/11 17:32:23.585","Car","Limit raise","7500.0","statechange","0.0","58","true","Offer_1772431340","User_3","150.0","Offer","OfferState_1339091711","false","0","7500.0"
"Application_1162167865","W_Call after offers","2016/02/11 17:33:00.032","2016/02/11 17:35:45.860","Car","Limit raise","7500.0","Deleted","0.0","58","true","Offer_1772431340","User_3","150.0","Workflow","Workitem_125075824","false","0","7500.0"
"Application_1162167865","A_Complete","2016/02/11 17:33:00.034","2016/02/11 17:33:00.034","Car","Limit raise","7500.0","statechange","0.0","58","true","Offer_1772431340","User_3","150.0","Application","ApplState_1784633973","false","0","7500.0"
"Application_1162167865","A_Cancelled","2016/02/11 17:35:45.827","2016/02/11 17:35:45.827","Car","Limit raise","7500.0","statechange","0.0","58","true","Offer_1772431340","User_3","150.0","Application","ApplState_573303002","false","0","7500.0"
"Application_1162167865","O_Cancelled","2016/02/11 17:35:45.851","2016/02/11 17:35:45.851","Car","Limit raise","7500.0","statechange","0.0","58","true","Offer_1772431340","User_3","150.0","Offer","OfferState_494248917","false","0","7500.0"
"Application_522241789","A_Create Application","2016/02/15 16:43:04.177","2016/02/15 16:43:04.177","Unknown","Limit raise","0.0","Created",,,,,"User_25",,"Application","Application_522241789",,,
"Application_522241789","A_Concept","2016/02/15 16:43:04.187","2016/02/15 16:43:04.187","Unknown","Limit raise","0.0","statechange",,,,,"User_25",,"Application","ApplState_1411586322",,,
"Application_522241789","A_Concept","2016/02/15 16:43:04.187","2016/02/15 16:43:04.187","Unknown","Limit raise","0.0","statechange",,,,,"User_25",,"Application","ApplState_1411586322",,,
"Application_522241789","W_Complete application","2016/02/15 16:43:04.195","2016/02/15 16:45:58.877","Unknown","Limit raise","0.0","Deleted",,,,,"User_25",,"Workflow","Workitem_1383231371",,,
"Application_522241789","A_Accepted","2016/02/15 16:44:02.658","2016/02/15 16:44:02.658","Unknown","Limit raise","0.0","statechange",,,,,"User_25",,"Application","ApplState_1304523051",,,
"Application_522241789","O_Create Offer","2016/02/15 16:45:29.924","2016/02/15 16:45:29.924","Unknown","Limit raise","0.0","Created","0.0","96","true",,"User_25","250.0","Offer","Offer_1485592228","false","0","20000.0"
"Application_522241789","O_Created","2016/02/15 16:45:31.499","2016/02/15 16:45:31.499","Unknown","Limit raise","0.0","statechange","0.0","96","true","Offer_1485592228","User_25","250.0","Offer","OfferState_1257188591","false","0","20000.0"
"Application_522241789","O_Created","2016/02/15 16:45:31.499","2016/02/15 16:45:31.499","Unknown","Limit raise","0.0","statechange","0.0","96","true","Offer_1485592228","User_25","250.0","Offer","OfferState_1257188591","false","0","20000.0"
"Application_522241789","W_Call after offers","2016/02/15 16:45:58.893","2016/02/15 16:46:39.950","Unknown","Limit raise","0.0","Deleted","0.0","96","true","Offer_1485592228","User_25","250.0","Workflow","Workitem_119461466","false","0","20000.0"
"Application_522241789","A_Complete","2016/02/15 16:45:58.897","2016/02/15 16:45:58.897","Unknown","Limit raise","0.0","statechange","0.0","96","true","Offer_1485592228","User_25","250.0","Application","ApplState_686260341","false","0","20000.0"
"Application_522241789","A_Cancelled","2016/02/15 16:46:39.915","2016/02/15 16:46:39.915","Unknown","Limit raise","0.0","statechange","0.0","96","true","Offer_1485592228","User_25","250.0","Application","ApplState_828766883","false","0","20000.0"
"Application_522241789","O_Cancelled","2016/02/15 16:46:39.940","2016/02/15 16:46:39.940","Unknown","Limit raise","0.0","statechange","0.0","96","true","Offer_1485592228","User_25","250.0","Offer","OfferState_2061348926","false","0","20000.0"
"Application_2110141037","A_Create Application","2016/02/29 15:24:09.124","2016/02/29 15:24:09.124","Home improvement","Limit raise","22000.0","Created",,,,,"User_5",,"Application","Application_2110141037",,,
"Application_2110141037","A_Concept","2016/02/29 15:24:09.148","2016/02/29 15:24:09.148","Home improvement","Limit raise","22000.0","statechange",,,,,"User_5",,"Application","ApplState_24028561",,,
"Application_2110141037","A_Concept","2016/02/29 15:24:09.148","2016/02/29 15:24:09.148","Home improvement","Limit raise","22000.0","statechange",,,,,"User_5",,"Application","ApplState_24028561",,,
"Application_2110141037","W_Complete application","2016/02/29 15:24:09.164","2016/02/29 15:30:59.465","Home improvement","Limit raise","22000.0","Deleted",,,,,"User_5",,"Workflow","Workitem_329072279",,,
"Application_2110141037","A_Accepted","2016/02/29 15:27:52.994","2016/02/29 15:27:52.994","Home improvement","Limit raise","22000.0","statechange",,,,,"User_5",,"Application","ApplState_1175471092",,,
"Application_2110141037","O_Create Offer","2016/02/29 15:30:31.315","2016/02/29 15:30:31.315","Home improvement","Limit raise","22000.0","Created","0.0","87","true",,"User_5","300.0","Offer","Offer_1644361575","false","0","22000.0"
"Application_2110141037","O_Created","2016/02/29 15:30:32.563","2016/02/29 15:30:32.563","Home improvement","Limit raise","22000.0","statechange","0.0","87","true","Offer_1644361575","User_5","300.0","Offer","OfferState_181047946","false","0","22000.0"
"Application_2110141037","O_Created","2016/02/29 15:30:32.563","2016/02/29 15:30:32.563","Home improvement","Limit raise","22000.0","statechange","0.0","87","true","Offer_1644361575","User_5","300.0","Offer","OfferState_181047946","false","0","22000.0"
"Application_2110141037","W_Call after offers","2016/02/29 15:30:59.478","2016/02/29 15:34:50.669","Home improvement","Limit raise","22000.0","Deleted","0.0","87","true","Offer_1644361575","User_5","300.0","Workflow","Workitem_1451052248","false","0","22000.0"
"Application_2110141037","A_Complete","2016/02/29 15:30:59.480","2016/02/29 15:30:59.480","Home improvement","Limit raise","22000.0","statechange","0.0","87","true","Offer_1644361575","User_5","300.0","Application","ApplState_1721883608","false","0","22000.0"
"Application_2110141037","A_Cancelled","2016/02/29 15:34:50.636","2016/02/29 15:34:50.636","Home improvement","Limit raise","22000.0","statechange","0.0","87","true","Offer_1644361575","User_5","300.0","Application","ApplState_631909180","false","0","22000.0"
"Application_2110141037","O_Cancelled","2016/02/29 15:34:50.659","2016/02/29 15:34:50.659","Home improvement","Limit raise","22000.0","statechange","0.0","87","true","Offer_1644361575","User_5","300.0","Offer","OfferState_1394109760","false","0","22000.0"
"Application_2098856182","A_Create Application","2016/03/03 16:31:41.007","2016/03/03 16:31:41.007","Unknown","New credit","0.0","Created",,,,,"User_23",,"Application","Application_2098856182",,,
"Application_2098856182","A_Create Application","2016/03/03 16:31:41.007","2016/03/03 16:31:41.007","Unknown","New credit","0.0","Created",,,,,"User_23",,"Application","Application_2098856182",,,
"Application_2098856182","W_Complete application","2016/03/03 16:31:41.018","2016/03/03 16:49:24.595","Unknown","New credit","0.0","Deleted",,,,,"User_23",,"Workflow","Workitem_705381079",,,
"Application_2098856182","A_Concept","2016/03/03 16:31:41.020","2016/03/03 16:31:41.020","Unknown","New credit","0.0","statechange",,,,,"User_23",,"Application","ApplState_139046074",,,
"Application_2098856182","A_Accepted","2016/03/03 16:33:12.953","2016/03/03 16:33:12.953","Unknown","New credit","0.0","statechange",,,,,"User_23",,"Application","ApplState_2017634908",,,
"Application_2098856182","O_Create Offer","2016/03/03 16:38:26.709","2016/03/03 16:38:26.709","Unknown","New credit","0.0","Created","13143.0","65","true",,"User_23","323.73","Offer","Offer_323198510","false","0","18500.0"
"Application_2098856182","O_Created","2016/03/03 16:38:27.984","2016/03/03 16:38:27.984","Unknown","New credit","0.0","statechange","13143.0","65","true","Offer_323198510","User_23","323.73","Offer","OfferState_1341959226","false","0","18500.0"
"Application_2098856182","O_Create Offer","2016/03/03 16:38:46.843","2016/03/03 16:38:46.843","Unknown","New credit","0.0","Created","0.0","65","true","Offer_323198510","User_23","325.0","Offer","Offer_188397703","false","0","18500.0"
"Application_2098856182","O_Created","2016/03/03 16:38:48.067","2016/03/03 16:38:48.067","Unknown","New credit","0.0","statechange","0.0","65","true","Offer_188397703","User_23","325.0","Offer","OfferState_787745521","false","0","18500.0"
"Application_2098856182","A_Cancelled","2016/03/03 16:49:24.538","2016/03/03 16:49:24.538","Unknown","New credit","0.0","statechange","0.0","65","true","Offer_188397703","User_23","325.0","Application","ApplState_502961091","false","0","18500.0"
"Application_2098856182","O_Cancelled","2016/03/03 16:49:24.572","2016/03/03 16:49:24.572","Unknown","New credit","0.0","statechange","0.0","65","true","Offer_188397703","User_23","325.0","Offer","OfferState_606051874","false","0","18500.0"
"Application_2098856182","O_Cancelled","2016/03/03 16:49:24.581","2016/03/03 16:49:24.581","Unknown","New credit","0.0","statechange","0.0","65","true","Offer_323198510","User_23","325.0","Offer","OfferState_130039118","false","0","18500.0"
"Application_503954743","A_Create Application","2016/03/09 11:12:03.763","2016/03/09 11:12:03.763","Unknown","Limit raise","0.0","Created",,,,,"User_30",,"Application","Application_503954743",,,
"Application_503954743","A_Concept","2016/03/09 11:12:03.766","2016/03/09 11:12:03.766","Unknown","Limit raise","0.0","statechange",,,,,"User_30",,"Application","ApplState_1581235632",,,
"Application_503954743","A_Concept","2016/03/09 11:12:03.766","2016/03/09 11:12:03.766","Unknown","Limit raise","0.0","statechange",,,,,"User_30",,"Application","ApplState_1581235632",,,
"Application_503954743","W_Complete application","2016/03/09 11:12:03.777","2016/03/09 11:25:55.523","Unknown","Limit raise","0.0","Deleted",,,,,"User_30",,"Workflow","Workitem_1884643592",,,
"Application_503954743","A_Accepted","2016/03/09 11:24:08.902","2016/03/09 11:24:08.902","Unknown","Limit raise","0.0","statechange",,,,,"User_30",,"Application","ApplState_747708319",,,
"Application_503954743","O_Create Offer","2016/03/09 11:25:36.706","2016/03/09 11:25:36.706","Unknown","Limit raise","0.0","Created","2500.0","127","true",,"User_30","175.0","Offer","Offer_421164257","true","883","17500.0"
"Application_503954743","O_Created","2016/03/09 11:25:38.337","2016/03/09 11:25:38.337","Unknown","Limit raise","0.0","statechange","2500.0","127","true","Offer_421164257","User_30","175.0","Offer","OfferState_1374864564","true","883","17500.0"
"Application_503954743","O_Created","2016/03/09 11:25:38.337","2016/03/09 11:25:38.337","Unknown","Limit raise","0.0","statechange","2500.0","127","true","Offer_421164257","User_30","175.0","Offer","OfferState_1374864564","true","883","17500.0"
"Application_503954743","W_Call after offers","2016/03/09 11:25:55.532","2016/03/09 11:26:00.329","Unknown","Limit raise","0.0","Deleted","2500.0","127","true","Offer_421164257","User_30","175.0","Workflow","Workitem_493525329","true","883","17500.0"
"Application_503954743","A_Complete","2016/03/09 11:25:55.534","2016/03/09 11:25:55.534","Unknown","Limit raise","0.0","statechange","2500.0","127","true","Offer_421164257","User_30","175.0","Application","ApplState_684447272","true","883","17500.0"
"Application_288856123","A_Create Application","2016/03/09 12:52:11.314","2016/03/09 12:52:11.314","Unknown","New credit","0.0","Created",,,,,"User_17",,"Application","Application_288856123",,,
"Application_288856123","A_Create Application","2016/03/09 12:52:11.314","2016/03/09 12:52:11.314","Unknown","New credit","0.0","Created",,,,,"User_17",,"Application","Application_288856123",,,
"Application_288856123","W_Complete application","2016/03/09 12:52:11.329","2016/03/09 12:55:51.009","Unknown","New credit","0.0","Deleted",,,,,"User_17",,"Workflow","Workitem_167498204",,,
"Application_288856123","A_Concept","2016/03/09 12:52:11.332","2016/03/09 12:52:11.332","Unknown","New credit","0.0","statechange",,,,,"User_17",,"Application","ApplState_708504226",,,
"Application_288856123","A_Accepted","2016/03/09 12:54:20.325","2016/03/09 12:54:20.325","Unknown","New credit","0.0","statechange",,,,,"User_17",,"Application","ApplState_1953210508",,,
"Application_288856123","O_Create Offer","2016/03/09 12:55:38.544","2016/03/09 12:55:38.544","Unknown","New credit","0.0","Created","10000.0","58","true",,"User_17","197.0","Offer","Offer_2136741549","false","0","10000.0"
"Application_288856123","O_Created","2016/03/09 12:55:39.718","2016/03/09 12:55:39.718","Unknown","New credit","0.0","statechange","10000.0","58","true","Offer_2136741549","User_17","197.0","Offer","OfferState_686694510","false","0","10000.0"
"Application_288856123","O_Created","2016/03/09 12:55:39.718","2016/03/09 12:55:39.718","Unknown","New credit","0.0","statechange","10000.0","58","true","Offer_2136741549","User_17","197.0","Offer","OfferState_686694510","false","0","10000.0"
"Application_288856123","W_Call after offers","2016/03/09 12:55:51.018","2016/03/09 13:02:12.239","Unknown","New credit","0.0","Deleted","10000.0","58","true","Offer_2136741549","User_17","197.0","Workflow","Workitem_67479102","false","0","10000.0"
"Application_288856123","A_Complete","2016/03/09 12:55:51.020","2016/03/09 12:55:51.020","Unknown","New credit","0.0","statechange","10000.0","58","true","Offer_2136741549","User_17","197.0","Application","ApplState_1976627313","false","0","10000.0"
